3;16153;HOSPEDAJE CASA ARANA;HOTEL;KR 66 12 06;PUENTE ARANDA;2906464 -  - ;casaarana@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;KR 66 12 06;4.63447777834939;-74.1179725099466
6;5230;HOTEL CANDILEJAS;HOTEL;CL 68 17 28;BARRIOS UNIDOS;6061236 - 2357329 - 3144336865;angelinav68@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;CL 68 17 28;4.65658722757506;-74.0658517480742
10;11493;HOTEL BOYAC� LA 24;HOTEL;KR 24 68 35;BARRIOS UNIDOS;2502241 - 2315994 - ;NA;NA;Menos de $ 60.000;No Pertenece a ZIT;KR 24 68 35;4.6593627448831;-74.0695938830706
11;13635;APARTAHOTEL LAGOS DEL NORTE;HOTEL;KR 23 67 20;BARRIOS UNIDOS;2491610 - 2491637 - ;hotel.lagos.del.norte@gmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;KR 23 67 20;4.657987005937423;-74.06911189521988
13;4631;HOSTAL MONSERRAT;ALOJAMIENTO RURAL;KR 24 82 43;BARRIOS UNIDOS;6168160 -  - ;alpesbogota@hotmail.com - julianleus@hotmail.com;NA;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;KR 24 82 43;4.67069742332848;-74.0633975297175
14;8166;ALPES BOGOT� HOSTAL;ALOJAMIENTO RURAL;KR 48 93 64;BARRIOS UNIDOS;6221738 - 6168160 - ;alpesbogota@hotmail.com - julianleus@hotmail.com;www.alpesbogotacasahotel.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;KR 48 93 64;4.681372281070212;-74.06113089639628
22;7445;HOTEL LORD;HOTEL;CL 63 14 62;TEUSAQUILLO;2550530 -  - ;hotel_lord@yahoo.com.ar - info@hotel-lord.com;www.hotel-lord.com;Menos de $ 60.000;No Pertenece a ZIT;CL 63 14 62;4.64981819246039;-74.065206085126
23;14447;SUITE B�SICAS INN - SUITES EJECUTIVAS ECON�MICAS;HOTEL;CL 63 D 22 44;BARRIOS UNIDOS;3125956 - 2552313 - 2482522;basicasinn@gmail.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;CL 63 D 22 44;4.654480149747065;-74.07097197494518
24;13620;SUITTES INN TUR�STICAS CALLE 63;HOTEL;CL 63 28 62;BARRIOS UNIDOS;2116901 - 2490387 - 2489640;turisticas63@hotelbogotainn.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;CL 63 28 62;4.6518749978464;-74.0763201934868
25;14450;APARTAMENTOS CEDROS 63 INN  - APARTAMENTO LOS CEDROS;HOTEL;CL 63 C 21 46;BARRIOS UNIDOS;3453963 - 3452603 - 5486174;apartamentoscedro@gmail.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;CL 63 C 21 46;4.65335012133212;-74.0704683153161
26;13621;SUITES INN ECON�MICAS CALLE 63;HOTEL;CL 63 B 21 30;BARRIOS UNIDOS;2492160 - 2492077 - 2492289;economicas63@gmail.com;www.hotelbogotainn.com;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;CL 63 B 21 30;4.652739299310188;-74.07049260936982
27;13343;HOTEL 63 INN EJECUTIVO;HOTEL;CL 63 D 21 26;BARRIOS UNIDOS;2116459 - 7495314 - ;hotel_63in_ejecutivo@hotmail.com;www.hotelesejecutivobogota.com;Menos de $ 60.000;No Pertenece a ZIT;CL 63 D 21 26;4.654376502132642;-74.07015907539561
31;12905;HOTEL SAN JOS� BAVARIA 1;HOTEL;CL 12 71 D 60;KENNEDY;2925026 - 4126025 - ;hotelsanjosebavaria@hotmail.com;NA;Menos de $ 60.000;No Pertenece a ZIT;CL 12 71 D 60;4.64329479301736;-74.1306184739836
41;5381;HOTEL BOGOT� ROYAL;HOTEL;KR 8 A 99 55;CHAPINERO;6341734 - 6004100 - ;reservas@hotelbogotaroyal.com;www.hotelesroyal.com;Entre $ 150.001 y $ 350.000;Calle 100;KR 8 A 99 55;4.68056998573057;-74.040405516164
43;1028;RADISSON ROYAL BOGOT� HOTEL;HOTEL;CL 113 7 65;USAQU�N;6578700 - 6578709 - ;reservas@radissonroyal.com;www.radisson.com/bogota.co;M�s de $ 350.001;Usaquen;CL 113 7 65;4.69101793979188;-74.0347921050786
44;118;HOTEL CHARLESTON BOGOT�;HOTEL;KR 13 85 46;CHAPINERO;2571100 -  - ;info@hotelescharleston.com;www.hotelescharleston.com;M�s de $ 350.001;No Pertenece a ZIT;KR 13 85 46;4.66947094362406;-74.0534685261951
47;4054;HOTEL CASONA DEL PATIO;HOTEL;KR 8 69 24;CHAPINERO;2128805 -  - ;reservas@lacasonadelpatio.net;www.lacasonadelpatio,net;Entre $ 60.001 y $ 150.000;No Pertenece a ZIT;KR 8 69 24;4.652471634025966;-74.0582956583661
48;8245;HOTEL BOGOT� REGENCY (REGENCY SUITES);HOTEL;KR 7 127 21;USAQU�N;5921777 -  - ;reservas@hotelregency.com.co;www.hotelregency.com;Entre $ 150.001 y $ 350.000;No Pertenece a ZIT;KR 7 127 21;4.70246888606464;-74.0288146123633
