ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
DROGUERIA EL PADRESITO;CALLE 52A No 77B - 25;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
DULCERIA PILI;CARRERA 84A No DIAGONAL 56A BIS - 12;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET FENJIREH;CALLE 90 No 90 - 20;ENGATIVA;LOS CEREZOS;Calle 80;01/09/2014
CAFE INTERNET GOD GOSPEL COMUNICACIONES;TRANSVERSAL 85 No 52B BIS - 11;ENGATIVA;SAN IGNACIO;Engativa;01/09/2014
CAFE INTERNET ANGELITOJL KOM;CARRERA 77C No 52B  - 69 LOCAL 2;ENGATIVA;SANTA CECILIA;Engativa;01/09/2014
PELUQUERIA NELYS;CARRERA 77C No 52A - 49;ENGATIVA;SANTA CECILIA;Engativa;01/09/2014
CAFE INTERNET COMUNICACIONES KAR M Y M;CARRERA 117 63I - 12;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
CAFE INTERNET P Y C NET;CARRERA 113B No 63I - 39 LOCAL 102;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
PAPELERIA MISCELANEA YEYIS;CALLE 63B No 120 - 24;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
CAFE INTERNET DELGADILLO;CALLE 63H No 119 - 23;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
DROGUERIA GALACTICA;CARRERA 121 No 63D - 18 PISO 1;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
MISCELANEA OLGA LUCIA C;CALLE 63B No 113B - 21;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
MISCELANEA Y PAPELERIA EVILUM;CARRERA 117A No 63B - 26;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
PAÑALERA XIOMI;CARRERA 121 No 63G - 14;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
CAFE INTERNET LHE MEGAVARIEDADES;CARRERA 118A No 63L - 04;ENGATIVA;SABANA DEL DORADO;Engativa;01/09/2014
DROGUERIA FARMACENTRY M Y F;CALLE 64F No 76A - 11;ENGATIVA;EL ENCANTO;Engativa;01/09/2014
CAFE INTERNET COMUNICACIONES JJ;CARRERA 89A No 84A - 59;ENGATIVA;QUIRIGUA ORIENTAL;Calle 80;01/09/2014
CAFE INTERNET DIANA MARISOL PATARROYO;TRANSVERSAL 113C No 67A - 16;ENGATIVA;CENTRO ENGATIVA II;Engativa;01/09/2014
